sku,product_name,category,expected_image_file,current_asset_status,priority,recommended_shots,background_style,min_resolution,editing_tasks,license_requirement,source_option,notes
AF-MIG-CT-0001,MIG Contact Tip,MIG/MAG Torch Parts,mig-contact-tip.jpg,local product photo available - authorization to confirm,High,"single product; thread close-up; product group by size if available","white background plus optional industrial blue version","1600x1600","crop; clean background; sharpen metal edge; export jpg/webp","own photo or supplier-authorized image only","Use current local asset only if authorization is confirmed","Exact size thread and material grade must be confirmed before model-specific labeling."
AF-MIG-GN-0002,MIG Gas Nozzle,MIG/MAG Torch Parts,mig-gas-nozzle.jpg,local product photo available - authorization to confirm,High,"front opening view; side view; group of nozzle shapes if available","white background plus optional industrial blue version","1600x1600","crop; clean background; correct copper tone; export jpg/webp","own photo or supplier-authorized image only","Use current local asset only if authorization is confirmed","Gallery assets are available as mig-gas-nozzle-gallery-1.jpg mig-gas-nozzle-gallery-2.jpg and mig-gas-nozzle-gallery-3.jpg."
AF-MIG-DF-0003,MIG Diffuser,MIG/MAG Torch Parts,mig-diffuser.jpg,generated product visual - replace with real photo,Medium,"side view; thread close-up; product group if multiple models","white background","1600x1600","photograph real item; crop; remove background; sharpen thread detail; export jpg/webp","own photo or supplier-authorized image only","Replace generated visual with real product photo","Confirm exact model before showing as a specific compatible part."
AF-TIG-CC-0004,TIG Ceramic Cup,TIG Torch Parts,tig-ceramic-cup.jpg,local product photo available - authorization to confirm,High,"single cup side view; opening view; cup number group if available","white background","1600x1600","crop; clean ceramic color; export jpg/webp","own photo or supplier-authorized image only","Use current local asset only if authorization is confirmed","Avoid claiming exact cup number unless SKU data confirms it."
AF-TIG-CB-0005,TIG Collet Body,TIG Torch Parts,tig-collet-body.jpg,generated product visual - replace with real photo,Medium,"side view; thread close-up; group with collet if available","white background","1600x1600","photograph real item; crop; remove background; sharpen brass/copper detail; export jpg/webp","own photo or supplier-authorized image only","Replace generated visual with real product photo","Useful to photograph with related TIG consumables for buyer context."
AF-TIG-GL-0006,TIG Gas Lens,TIG Torch Parts,tig-gas-lens.jpg,generated product visual - replace with real photo,Medium,"front mesh view; side view; set with collet body if available","white background","1600x1600","photograph real item; crop; remove background; sharpen mesh detail; export jpg/webp","own photo or supplier-authorized image only","Replace generated visual with real product photo","Mesh detail should be clear; avoid over-compression."
AF-PLA-EL-0007,Plasma Electrode,Plasma Cutting Consumables,plasma-electrode.jpg,generated product visual - replace with real photo,High,"single electrode side view; tip close-up; group view","white background plus optional industrial blue version","1600x1600","photograph real item; crop; remove background; sharpen tip; export jpg/webp","own photo or supplier-authorized image only","Replace generated visual with real product photo","Do not claim brand compatibility from image alone."
AF-PLA-NZ-0008,Plasma Nozzle,Plasma Cutting Consumables,plasma-nozzle.jpg,generated product visual - replace with real photo,High,"front orifice view; side view; group view","white background","1600x1600","photograph real item; crop; remove background; sharpen orifice; export jpg/webp","own photo or supplier-authorized image only","Replace generated visual with real product photo","Orifice and copper color should be visible."
AF-PLA-SR-0009,Plasma Swirl Ring,Plasma Cutting Consumables,plasma-swirl-ring.jpg,generated product visual - replace with real photo,Medium,"top view; side view; with electrode/nozzle stack if available","white background","1600x1600","photograph real item; crop; remove background; clean edges; export jpg/webp","own photo or supplier-authorized image only","Replace generated visual with real product photo","If photographed as kit keep a separate single product image too."
AF-CON-EH-0010,Electrode Holder,Welding Consumables,electrode-holder.jpg,generated product visual - replace with real photo,Medium,"full product side view; jaw close-up; cable connection view","white background or light workshop background","1600x1200","photograph real item; crop; clean background; sharpen handle and jaw detail; export jpg/webp","own photo or supplier-authorized image only","Replace generated visual with real product photo","Do not show current rating unless product data confirms it."
AF-ACC-GC-0011,Ground Clamp,Welding Accessories,ground-clamp.jpg,generated product visual - replace with real photo,High,"full clamp side view; jaw close-up; cable connection view","white background or light workshop background","1600x1200","photograph real item; crop; clean background; sharpen spring and jaw detail; export jpg/webp","own photo or supplier-authorized image only","Replace generated visual with real product photo","Do not show current rating unless product data confirms it."
AF-ACC-CC-0012,Welding Cable Connector,Welding Accessories,welding-cable-connector.jpg,generated product visual - replace with real photo,Medium,"single connector side view; connector pair view; detail close-up","white background","1600x1600","photograph real item; crop; remove background; sharpen metal/plastic detail; export jpg/webp","own photo or supplier-authorized image only","Replace generated visual with real product photo","Confirm connector size before adding model-specific labels."
