category_slug,product_slug,title,sku,kind,process,short_description,material,thread,size,length,compatible_model,compatible_brand,oem,oem_number,package,moq,lead_time,image_name,application,applications,features,faq_question_1,faq_answer_1,related_product_slugs,missing_fields
mig-mag-torch-parts,mig-contact-tip-m6-08mm,MIG Contact Tip M6 0.8mm,To be confirmed,welding-consumable,MIG/MAG,Copper contact tip for stable wire feeding in MIG welding.,Copper / CuCrZr,M6,0.8mm,Available upon request,MB15 / MB24,Compatibility can be confirmed by sample or drawing,Available,Available upon request,100 pcs/bag,Small trial orders accepted,7-15 working days,mig-contact-tip-m6-08.jpg,MIG/MAG welding torch consumables,Metal Fabrication;Automotive;Repair Workshop,Confirmed M6 thread and 0.8mm size;OEM available;Private label packaging,What should buyers send for MIG Contact Tip M6 0.8mm quotation?,Send required quantity torch model compatible reference number package request and destination country.,mig-contact-tip-m6-10mm;mig-contact-tip-m6-12mm;mig-tip-holder-mb15,SKU;Length;Compatible Brand;OEM Number
mig-mag-torch-parts,mig-contact-tip-m6-10mm,MIG Contact Tip M6 1.0mm,To be confirmed,welding-consumable,MIG/MAG,Copper contact tip for stable wire feeding in MIG welding.,Copper / CuCrZr,M6,1.0mm,Available upon request,MB15 / MB24,Compatibility can be confirmed by sample or drawing,Available,Available upon request,100 pcs/bag,Small trial orders accepted,7-15 working days,mig-contact-tip-m6-10.jpg,MIG/MAG welding torch consumables,Metal Fabrication;Automotive;Industrial Maintenance,Confirmed M6 thread and 1.0mm size;OEM available;Private label packaging,Can this M6 1.0mm contact tip be quoted with other sizes?,Yes. Buyers can include 0.8mm 1.0mm and 1.2mm contact tips in one RFQ list with quantities.,mig-contact-tip-m6-08mm;mig-contact-tip-m6-12mm;mig-gas-nozzle-mb15,SKU;Length;Compatible Brand;OEM Number
mig-mag-torch-parts,mig-contact-tip-m6-12mm,MIG Contact Tip M6 1.2mm,To be confirmed,welding-consumable,MIG/MAG,Copper contact tip for stable wire feeding in MIG welding.,Copper / CuCrZr,M6,1.2mm,Available upon request,MB15 / MB24,Compatibility can be confirmed by sample or drawing,Available,Available upon request,100 pcs/bag,Small trial orders accepted,7-15 working days,mig-contact-tip-m6-12.jpg,MIG/MAG welding torch consumables,Metal Fabrication;Construction;Repair Workshop,Confirmed M6 thread and 1.2mm size;OEM available;Private label packaging,Is this contact tip suitable for all MIG torches?,Compatibility should be confirmed by torch model reference number drawing or sample.,mig-contact-tip-m6-08mm;mig-contact-tip-m6-10mm;mig-tip-holder-mb15,SKU;Length;Compatible Brand;OEM Number
mig-mag-torch-parts,mig-tip-holder-mb15,MIG Tip Holder for MB15,To be confirmed,welding-consumable,MIG/MAG,Tip holder for MB15 MIG torch consumable replacement and repair sourcing.,Copper material specific grade to be confirmed,Available upon request,For MB15,Available upon request,MB15,Compatibility can be confirmed by sample or drawing,Available,Available upon request,Standard export packing or customized packaging,Small trial orders accepted,7-15 working days,mig-tip-holder-mb15.jpg,MIG/MAG welding torch consumables,Repair Workshop;Metal Fabrication;Welding Distributor Supply,MB15 torch part;OEM available;Customized packaging,What details are needed for MIG Tip Holder for MB15?,Send quantity sample photo drawing reference number and packaging requirements when available.,mig-contact-tip-m6-08mm;mig-contact-tip-m6-10mm;mig-gas-nozzle-mb15,SKU;Material Grade;Thread;Length;Compatible Brand;OEM Number;Exact Package
mig-mag-torch-parts,mig-gas-nozzle-mb15,MIG Gas Nozzle for MB15,To be confirmed,welding-consumable,MIG/MAG,Gas nozzle for MB15 MIG torch replacement and welding repair sourcing.,Copper material specific grade to be confirmed,Available upon request,For MB15,Available upon request,MB15,Compatibility can be confirmed by sample or drawing,Available,Available upon request,Standard export packing or customized packaging,Small trial orders accepted,7-15 working days,mig-gas-nozzle-mb15.jpg,MIG/MAG welding torch consumables,Metal Fabrication;Automotive;Repair Workshop,MB15 torch part;OEM available;Customized packaging,What information helps confirm an MB15 gas nozzle?,Send torch series nozzle photo sample drawing reference number quantity and packaging request.,mig-tip-holder-mb15;mig-contact-tip-m6-08mm;mig-contact-tip-m6-10mm,SKU;Material Grade;Thread;Length;Compatible Brand;OEM Number;Exact Package
tig-torch-parts,tig-ceramic-cup-5,TIG Ceramic Cup #5,To be confirmed,welding-consumable,TIG,Ceramic cup for TIG torch consumable replacement and repair workshop RFQs.,Ceramic,Available upon request,#5,Available upon request,Compatibility can be confirmed by sample or drawing,Compatibility can be confirmed by sample or drawing,Available,Available upon request,Standard export packing or customized packaging,Small trial orders accepted,7-15 working days,tig-ceramic-cup-5.jpg,TIG welding torch consumables,Precision TIG Welding;Metal Fabrication;Repair Workshop,Confirmed #5 cup size;OEM available;Private label packaging,What should buyers send for TIG Ceramic Cup #5?,Send torch series quantity package request reference number or sample photo when available.,tig-ceramic-cup-6;tig-gas-lens-16mm;mig-contact-tip-m6-08mm,SKU;Thread;Length;Compatible Model;Compatible Brand;OEM Number;Exact Package
tig-torch-parts,tig-ceramic-cup-6,TIG Ceramic Cup #6,To be confirmed,welding-consumable,TIG,Ceramic cup for TIG torch consumable replacement and distributor RFQ programs.,Ceramic,Available upon request,#6,Available upon request,Compatibility can be confirmed by sample or drawing,Compatibility can be confirmed by sample or drawing,Available,Available upon request,Standard export packing or customized packaging,Small trial orders accepted,7-15 working days,tig-ceramic-cup-6.jpg,TIG welding torch consumables,Precision TIG Welding;Pipeline Work;Repair Workshop,Confirmed #6 cup size;OEM available;Private label packaging,Can TIG Ceramic Cup #6 be quoted together with #5?,Yes. Buyers can send one TIG ceramic cup list with separate sizes and quantities.,tig-ceramic-cup-5;tig-gas-lens-16mm;mig-gas-nozzle-mb15,SKU;Thread;Length;Compatible Model;Compatible Brand;OEM Number;Exact Package
tig-torch-parts,tig-gas-lens-16mm,TIG Gas Lens 1.6mm,To be confirmed,welding-consumable,TIG,Gas lens for TIG torch shielding gas control and consumable RFQ programs.,Specific material grade to be confirmed by sample or drawing,Available upon request,1.6mm,Available upon request,Compatibility can be confirmed by sample or drawing,Compatibility can be confirmed by sample or drawing,Available,Available upon request,Standard export packing or customized packaging,Small trial orders accepted,7-15 working days,tig-gas-lens-16.jpg,TIG welding torch consumables,Precision TIG Welding;Metal Fabrication;Repair Workshop,Confirmed 1.6mm size;OEM available;Private label packaging,What details are needed for TIG Gas Lens 1.6mm?,Send torch series sample photo reference number quantity and packaging requirement.,tig-ceramic-cup-5;tig-ceramic-cup-6;mig-contact-tip-m6-10mm,SKU;Material Grade;Thread;Length;Compatible Model;Compatible Brand;OEM Number;Exact Package
plasma-cutting-consumables,plasma-electrode,Plasma Electrode,To be confirmed,welding-consumable,Plasma Cutting,Electrode for plasma cutting torch consumable sourcing and repair channels.,Specific material grade to be confirmed by sample or drawing,Available upon request,Available upon request,Available upon request,Compatibility can be confirmed by sample or drawing,Compatibility can be confirmed by sample or drawing,Available,Available upon request,Standard export packing or customized packaging,Small trial orders accepted,7-15 working days,plasma-electrode.jpg,Plasma cutting torch consumables,Metal Fabrication;Construction Steelwork;Repair Workshop,Plasma cutting consumable;OEM available;Can be quoted with nozzle,What should buyers send for plasma electrode quotation?,Send torch model reference number photos samples quantity and packaging requirements.,plasma-nozzle;mig-contact-tip-m6-08mm;tig-gas-lens-16mm,SKU;Material Grade;Thread;Size;Length;Compatible Model;Compatible Brand;OEM Number;Exact Package
plasma-cutting-consumables,plasma-nozzle,Plasma Nozzle,To be confirmed,welding-consumable,Plasma Cutting,Nozzle for plasma cutting torch consumable replacement and distributor RFQs.,Specific material grade to be confirmed by sample or drawing,Available upon request,Available upon request,Available upon request,Compatibility can be confirmed by sample or drawing,Compatibility can be confirmed by sample or drawing,Available,Available upon request,Standard export packing or customized packaging,Small trial orders accepted,7-15 working days,plasma-nozzle.jpg,Plasma cutting torch consumables,Metal Fabrication;Industrial Cutting;Repair Workshop,Plasma cutting consumable;OEM available;Can be quoted with electrode,What information is required for plasma nozzle quotation?,Send torch model reference number nozzle size if available quantity packaging requirement and destination country.,plasma-electrode;mig-gas-nozzle-mb15;tig-ceramic-cup-6,SKU;Material Grade;Thread;Size;Length;Compatible Model;Compatible Brand;OEM Number;Exact Package
